Id,Title,Location,PriceEuro,PriceKuna,Area,CijenaKvadratEuro,CijenaKvadratKuna,Posted,Link,Photo
21,"Rijeka, Pećine, 2S+DB, 78 m2",Primorsko-goranska,700,5262,78,8,67,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--pecine--2s-db--78-m2/oid/3247217,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247217/XML-4274-254115_20211222011126690_0_.jpg?preset=oglas-slika-view
22,"Rijeka, Centar, 1S+DB, 80 m2",Primorsko-goranska,1000,7517,86,11,87,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--centar--1s-db--80-m2/oid/3247184,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247184/XML-4274-253745_20211222011126894_0_.jpg?preset=oglas-slika-view
23,"Kastav, Brestovice 4S+DB, 114 m2",Primorsko-goranska,1200,9020,114,10,79,Objavljeno prije 24 h,https://www.index.hr/oglasi/kastav--brestovice-4s-db--114-m2/oid/3247312,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247312/XML-4274-260276_20211222011126190_0_.jpg?preset=oglas-slika-view
24,"Kastav, Brestovice 3S+2DB, 85 m2",Primorsko-goranska,950,7141,85,11,84,Objavljeno prije 24 h,https://www.index.hr/oglasi/kastav--brestovice-3s-2db--85-m2/oid/3247311,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247311/XML-4274-260271_20211222011126206_0_.jpg?preset=oglas-slika-view
25,"Kastav, Brestovice stan + poslovni prostor, 120 m2",Primorsko-goranska,1100,8269,120,9,68,Objavljeno prije 24 h,https://www.index.hr/oglasi/kastav--brestovice-stan---poslovni-prostor--120-m2/oid/3247309,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247309/XML-4274-260260_20211222011126206_0_.jpg?preset=oglas-slika-view
26,"Rijeka, Centar 4S+DB, 139.36 m2",Primorsko-goranska,850,6389,139,6,45,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--centar-4s-db--139-36-m2/oid/3247188,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247188/XML-4274-253771_20211222011126862_0_.jpg?preset=oglas-slika-view
27,"Rijeka, Centar, Uredski prostori, 96.30 m2",Primorsko-goranska,800,6013,96,8,62,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--centar--uredski-prostori--96-30-m2/oid/3247190,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247190/XML-4274-253785_20211222011126847_0_.jpg?preset=oglas-slika-view
28,"Kastav, Brestovice 1S+DB + garsonijera, 110 m2",Primorsko-goranska,950,7141,110,8,64,Objavljeno prije 24 h,https://www.index.hr/oglasi/kastav--brestovice-1s-db---garsonijera--110-m2/oid/3247310,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247310/XML-4274-260268_20211222011126206_0_.jpg?preset=oglas-slika-view
29,"Kastav, Brestovice 1S+DB, 75 m2",Primorsko-goranska,550,4134,75,7,55,Objavljeno prije 24 h,https://www.index.hr/oglasi/kastav--brestovice-1s-db--75-m2/oid/3247308,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247308/XML-4274-260252_20211222011126222_0_.jpg?preset=oglas-slika-view
30,"Rijeka, Bulevard 1S+DB, 46 m2",Primorsko-goranska,400,3007,46,8,65,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--bulevard-1s-db--46-m2/oid/3247175,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247175/XML-4274-253616_20211222011126956_0_.jpg?preset=oglas-slika-view
31,"Rijeka, Centar 2S+DB, 92 m2",Primorsko-goranska,600,4510,92,6,49,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--centar-2s-db--92-m2/oid/3247170,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247170/XML-4274-253584_20211222011126972_0_.jpg?preset=oglas-slika-view
32,"Rijeka, Trsat, Novouređeni 3S+DB stan, 130 m2",Primorsko-goranska,1000,7517,130,7,57,Objavljeno prije 24 h,https://www.index.hr/oglasi/rijeka--trsat--novouredjeni-3s-db-stan--130-m2/oid/3247214,https://www.index.hr/oglasi/UserDocsImages/oglas/_2021//12//22///3247214/XML-4274-254081_20211222011126706_0_.jpg?preset=oglas-slika-view
